Date,Open,High,Low,Close,Volume,Open Interest
2020-11-13,1139.5,1145.0,1139.5,1141.5,129.0,192.0
2020-11-12,1136.25,1140.75,1132.25,1137.0,290.0,437.0
2020-11-11,1137.0,1150.25,1136.0,1143.25,489.0,548.0
2020-11-10,1106.75,1145.25,1102.25,1138.25,582.0,837.0
2020-11-09,1097.75,1113.25,1096.75,1105.0,808.0,1354.0
2020-11-06,1101.0,1107.5,1095.75,1098.5,1031.0,1932.0
2020-11-05,1080.0,1111.25,1079.5,1101.75,1797.0,2757.0
2020-11-04,1061.5,1081.5,1056.25,1079.0,1304.0,3130.0
2020-11-03,1051.0,1068.5,1051.0,1059.0,2507.0,4319.0
2020-11-02,1053.5,1053.5,1042.0,1050.75,3572.0,6308.0
2020-10-30,1051.0,1062.25,1047.0,1056.5,12249.0,12930.0
2020-10-29,1058.5,1062.5,1051.0,1051.75,59735.0,30843.0
2020-10-28,1081.75,1081.75,1056.75,1057.25,88439.0,64594.0
2020-10-27,1086.0,1094.0,1081.75,1082.25,87014.0,94458.0
2020-10-26,1083.75,1089.75,1078.0,1087.75,80818.0,126946.0
2020-10-23,1071.25,1088.5,1065.75,1083.75,122286.0,183793.0
2020-10-22,1072.25,1085.25,1063.5,1073.75,134093.0,199314.0
2020-10-21,1065.0,1077.0,1064.25,1072.0,114429.0,205922.0
2020-10-20,1055.75,1065.75,1051.25,1064.0,104797.0,218048.0
2020-10-19,1051.25,1058.25,1047.75,1054.25,103694.0,227644.0
2020-10-16,1062.75,1070.75,1048.75,1050.0,127247.0,246061.0
2020-10-15,1057.5,1064.25,1037.25,1062.25,138550.0,259387.0
2020-10-14,1043.0,1059.75,1039.75,1056.25,141828.0,272982.0
2020-10-13,1034.0,1046.0,1032.5,1044.0,145855.0,290652.0
2020-10-12,1065.25,1073.5,1031.5,1033.75,239724.0,317436.0
2020-10-09,1050.25,1079.75,1047.0,1065.5,241006.0,344622.0
2020-10-08,1051.25,1069.0,1048.5,1050.0,221924.0,368365.0
2020-10-07,1041.25,1059.75,1037.5,1051.0,218055.0,392944.0
2020-10-06,1021.5,1053.75,1021.25,1044.0,197455.0,395014.0
2020-10-05,1019.75,1025.5,1016.0,1021.5,100875.0,391723.0
2020-10-02,1024.0,1028.0,1013.0,1020.75,127394.0,392354.0
2020-10-01,1023.25,1035.0,1021.75,1023.5,132928.0,398119.0
2020-09-30,992.25,1034.75,987.5,1023.5,205958.0,401954.0
2020-09-29,994.0,997.75,985.75,993.0,105837.0,400106.0
2020-09-28,1002.0,1007.5,991.5,996.25,106847.0,400088.0
2020-09-25,999.0,1008.0,995.25,1002.5,104909.0,401557.0
2020-09-24,1012.5,1014.75,997.25,1000.0,165574.0,406401.0
2020-09-23,1020.5,1025.5,1011.0,1014.5,124907.0,412529.0
2020-09-22,1020.25,1037.0,1013.25,1019.75,157052.0,416017.0
2020-09-21,1041.0,1045.25,1020.5,1022.5,180292.0,419087.0
2020-09-18,1028.0,1046.75,1027.25,1043.5,177098.0,417362.0
2020-09-17,1011.5,1032.25,1005.0,1028.5,253428.0,411638.0
2020-09-16,991.0,1013.75,985.0,1011.25,165952.0,408151.0
2020-09-15,1001.0,1005.75,990.25,991.5,122260.0,402905.0
2020-09-14,996.0,1008.75,996.0,999.5,125766.0,406616.0
2020-09-11,977.0,998.0,975.0,996.0,191092.0,399871.0
2020-09-10,978.75,982.0,974.25,977.5,89817.0,400837.0
2020-09-09,978.75,981.75,968.5,978.75,119369.0,393861.0
2020-09-08,970.0,977.0,961.75,973.0,152817.0,395706.0
2020-09-04,965.0,969.5,960.5,968.0,105741.0,398543.0
2020-09-03,962.0,968.25,957.75,966.0,131679.0,401081.0
2020-09-02,953.0,963.0,946.0,962.0,128667.0,399274.0
2020-09-01,951.5,959.5,942.75,954.75,149389.0,397592.0
2020-08-31,955.5,966.75,952.25,953.5,136351.0,394784.0
2020-08-28,942.0,952.0,940.25,950.5,130464.0,387196.0
2020-08-27,924.5,948.75,923.75,942.0,197695.0,380709.0
2020-08-26,920.0,925.75,919.5,924.25,101187.0,381040.0
2020-08-25,911.5,920.75,911.0,920.25,120168.0,376724.0
2020-08-24,905.0,912.25,901.0,905.75,106151.0,375719.0
2020-08-21,906.75,910.75,903.25,904.75,85675.0,378479.0
2020-08-20,913.0,915.75,902.5,905.25,113356.0,381315.0
2020-08-19,912.5,919.5,910.0,914.0,91987.0,380153.0
2020-08-18,914.75,917.0,910.0,913.75,138747.0,376370.0
2020-08-17,901.25,917.5,901.25,915.25,150496.0,372455.0
2020-08-14,898.0,899.5,894.0,898.75,85555.0,376532.0
2020-08-13,883.0,902.5,883.0,899.5,167560.0,373765.0
2020-08-12,873.25,883.5,867.0,883.0,138538.0,369259.0
2020-08-11,872.25,877.0,870.25,873.5,73419.0,371871.0
2020-08-10,867.5,875.75,865.25,873.25,94368.0,376423.0
2020-08-07,878.75,879.5,866.75,867.5,101488.0,369165.0
2020-08-06,878.0,884.0,875.5,878.0,90540.0,367623.0
2020-08-05,883.0,884.75,876.25,878.75,97053.0,372433.0
2020-08-04,893.0,895.25,879.25,881.75,119530.0,366386.0
2020-08-03,892.5,899.75,891.25,896.25,77653.0,365504.0
2020-07-31,888.75,894.75,888.75,892.5,75617.0,364872.0
2020-07-30,885.0,890.0,880.75,888.25,92057.0,363335.0
2020-07-29,887.5,889.25,883.5,885.25,80553.0,357810.0
2020-07-28,896.5,896.5,883.0,887.5,122186.0,357016.0
2020-07-27,897.5,903.75,895.0,899.75,72231.0,352280.0
2020-07-24,900.0,903.75,894.75,899.25,86889.0,347143.0
2020-07-23,895.0,901.0,893.5,900.0,81345.0,342945.0
2020-07-22,893.0,898.0,888.25,895.5,89694.0,341619.0
2020-07-21,899.25,899.25,890.5,893.0,84480.0,337232.0
2020-07-20,896.75,902.0,893.75,900.0,80074.0,332186.0
2020-07-17,891.0,896.25,890.75,895.0,68483.0,331498.0
2020-07-16,883.5,893.5,883.0,891.0,85233.0,328026.0
2020-07-15,878.75,884.0,876.5,882.75,78662.0,326544.0
2020-07-14,876.25,882.75,873.75,877.5,93877.0,326163.0
2020-07-13,885.0,886.75,871.5,875.25,126561.0,332745.0
2020-07-10,901.5,904.75,887.5,890.75,120590.0,338896.0
2020-07-09,898.75,909.5,896.5,901.5,99333.0,339659.0
2020-07-08,902.0,902.25,895.0,897.25,95575.0,344890.0
2020-07-07,906.75,909.25,900.25,902.5,92527.0,344940.0
2020-07-06,903.0,912.5,902.5,906.25,108397.0,341682.0
2020-07-02,898.25,903.0,895.5,896.75,83603.0,344285.0
2020-07-01,882.0,902.0,881.0,899.0,153762.0,334050.0
2020-06-30,861.0,887.0,859.5,882.25,160226.0,318703.0
2020-06-29,860.0,865.0,856.75,861.5,81327.0,319650.0
2020-06-26,867.75,870.25,859.5,861.25,78705.0,315721.0
2020-06-25,870.0,870.5,860.0,868.25,91322.0,311136.0
2020-06-24,874.25,876.75,868.5,870.0,83828.0,307704.0
2020-06-23,879.25,880.25,865.0,874.0,105029.0,303636.0
2020-06-22,879.0,881.5,877.0,879.25,55929.0,294226.0
2020-06-19,876.0,884.25,874.0,880.75,56735.0,290119.0
2020-06-18,877.0,880.25,875.0,876.0,53895.0,287319.0
2020-06-17,872.75,879.5,866.0,876.5,63795.0,283305.0
2020-06-16,877.5,879.75,872.25,873.0,56106.0,284575.0
2020-06-15,879.0,880.0,871.25,876.0,57800.0,283530.0
2020-06-12,876.75,884.5,874.5,879.75,75956.0,272665.0
2020-06-11,876.5,879.75,872.75,876.75,69584.0,258233.0
2020-06-10,876.0,880.75,875.0,877.0,64477.0,244339.0
2020-06-09,877.5,879.75,870.5,876.5,74940.0,226188.0
2020-06-08,880.25,883.5,874.75,878.0,67792.0,212809.0
2020-06-05,876.75,882.25,875.75,879.5,71268.0,198070.0
2020-06-04,865.75,879.75,864.5,876.75,59963.0,193070.0
2020-06-03,861.0,867.0,861.0,866.25,42631.0,187060.0
2020-06-02,852.0,865.0,850.25,860.5,46394.0,186004.0
2020-06-01,854.0,859.75,845.75,852.25,43802.0,183744.0
2020-05-29,854.75,855.25,848.0,851.75,38206.0,182807.0
2020-05-28,855.0,858.5,847.25,856.0,39034.0,180915.0
2020-05-27,855.0,859.0,851.75,855.5,35193.0,179368.0
2020-05-26,843.75,857.5,843.25,855.0,40463.0,177069.0
2020-05-22,846.0,849.25,840.75,844.5,40445.0,176041.0
2020-05-21,854.75,856.0,844.0,845.5,42274.0,176615.0
2020-05-20,850.0,856.75,850.0,854.0,27486.0,172859.0
2020-05-19,853.25,856.0,848.5,850.25,30824.0,171620.0
2020-05-18,848.0,855.0,845.75,852.75,27936.0,173440.0
2020-05-15,844.0,850.25,843.75,845.5,27487.0,172610.0
2020-05-14,845.25,850.25,841.75,843.75,27678.0,169480.0
2020-05-13,855.0,858.5,843.0,845.5,39660.0,169235.0
2020-05-12,857.0,862.75,853.75,857.0,43491.0,167376.0
2020-05-11,859.0,865.0,854.25,858.5,33023.0,165881.0
2020-05-08,847.75,859.5,847.25,855.5,32008.0,163070.0
2020-05-07,839.25,853.5,839.25,848.25,53487.0,156840.0
2020-05-06,846.5,848.25,838.5,839.25,29837.0,156659.0
2020-05-05,846.0,848.5,843.0,846.5,23681.0,156257.0
2020-05-04,853.5,853.5,840.25,845.75,31199.0,153995.0
2020-05-01,856.5,858.0,850.5,855.0,28076.0,154171.0
2020-04-30,845.75,858.75,844.0,857.75,43259.0,158211.0
2020-04-29,839.25,847.0,838.0,844.25,25911.0,157137.0
2020-04-28,841.0,845.75,837.0,839.0,25661.0,157176.0
2020-04-27,841.25,849.5,839.0,840.25,25799.0,155199.0
2020-04-24,848.0,851.75,837.0,841.5,33510.0,150784.0
2020-04-23,846.5,857.0,845.25,848.0,39319.0,147252.0
2020-04-22,847.75,854.75,843.75,846.5,37522.0,146086.0
2020-04-21,845.75,850.25,831.0,848.0,41851.0,145540.0
2020-04-20,852.0,854.75,844.75,845.75,18634.0,144098.0
2020-04-17,858.5,859.5,850.25,851.0,19792.0,142508.0
2020-04-16,859.25,864.5,854.0,854.5,16885.0,141577.0
2020-04-15,866.0,871.0,857.75,859.75,29475.0,138983.0
2020-04-14,870.75,872.25,862.75,865.5,19718.0,137546.0
2020-04-13,876.0,882.25,866.75,870.5,30040.0,125780.0
2020-04-09,867.5,877.0,867.25,875.75,28983.0,126015.0
2020-04-08,866.75,872.75,864.5,868.0,18819.0,125367.0
2020-04-07,865.5,872.0,865.0,866.75,20724.0,125131.0
2020-04-06,859.5,866.5,857.5,865.25,16303.0,124159.0
2020-04-03,863.75,869.5,858.75,861.5,20036.0,122024.0
2020-04-02,864.0,870.75,858.75,863.0,21645.0,120772.0
2020-04-01,877.75,878.5,861.0,863.5,25770.0,118647.0
2020-03-31,874.0,881.25,870.75,877.5,30117.0,114458.0
2020-03-30,876.25,886.75,872.5,874.5,16776.0,112917.0
2020-03-27,876.0,887.0,874.5,876.75,18610.0,107907.0
2020-03-26,877.5,880.75,870.5,879.0,18476.0,109038.0
2020-03-25,874.0,885.5,872.5,877.5,19170.0,110046.0
2020-03-24,871.75,876.75,866.75,875.0,25911.0,109781.0
2020-03-23,858.5,873.25,858.0,872.5,31709.0,109364.0
2020-03-20,848.5,866.75,848.5,860.75,38978.0,110321.0
2020-03-19,844.25,859.75,840.0,848.5,52941.0,111495.0
2020-03-18,843.0,855.0,836.75,842.0,35524.0,112477.0
2020-03-17,846.25,854.25,842.0,842.75,34410.0,114181.0
2020-03-16,860.0,871.0,843.75,844.75,40392.0,115857.0
2020-03-13,871.0,884.0,860.0,864.5,32247.0,119374.0
2020-03-12,886.25,886.25,866.0,873.0,38555.0,118464.0
2020-03-11,890.5,898.0,885.25,886.75,20629.0,118895.0
2020-03-10,890.5,899.5,890.5,891.5,19936.0,118056.0
2020-03-09,900.0,900.0,884.0,886.25,36261.0,119949.0
2020-03-06,910.0,912.0,903.5,905.5,28553.0,118668.0
2020-03-05,917.0,922.0,906.75,908.5,26587.0,116171.0
2020-03-04,919.0,923.75,916.0,917.5,30301.0,111201.0
2020-03-03,919.75,923.5,916.0,919.25,25196.0,108935.0
2020-03-02,908.25,918.75,907.0,917.75,25078.0,106783.0
2020-02-28,913.25,913.25,900.25,908.25,28132.0,104675.0
2020-02-27,912.25,914.5,902.25,913.5,31609.0,107826.0
2020-02-26,910.75,919.25,908.25,913.0,23414.0,106379.0
2020-02-25,906.75,911.0,904.0,910.5,15118.0,106071.0
2020-02-24,916.0,916.0,901.75,905.0,22357.0,106434.0
2020-02-21,917.0,924.5,915.75,917.5,24623.0,103448.0
