Date,Open,High,Low,Close,Volume,Open Interest
2001-01-12,480.5,482.0,476.0,479.25,468.0,168.0
2001-01-11,484.0,487.0,479.0,479.75,1568.0,483.0
2001-01-10,494.0,495.0,489.5,490.5,1874.0,1021.0
2001-01-09,490.5,495.75,490.5,495.25,3297.0,1601.0
2001-01-08,488.5,492.0,487.0,491.0,1956.0,2337.0
2001-01-05,490.0,491.5,487.5,489.5,4254.0,2949.0
2001-01-04,497.0,498.0,491.0,492.25,5568.0,4465.0
2001-01-03,493.0,498.5,492.5,497.25,8278.0,6442.0
2001-01-02,500.0,500.0,494.5,495.0,6798.0,7258.0
2000-12-29,498.5,500.75,498.0,499.5,7209.0,9112.0
2000-12-28,501.5,502.0,496.5,497.5,26464.0,11603.0
2000-12-27,498.0,500.0,496.0,498.5,25357.0,18680.0
2000-12-26,510.0,510.75,504.75,505.25,17150.0,27547.0
2000-12-22,511.0,511.75,508.75,510.25,12353.0,33282.0
2000-12-21,507.0,511.0,505.5,510.0,19077.0,37413.0
2000-12-20,509.5,511.5,507.25,508.0,17028.0,46006.0
2000-12-19,508.0,512.0,506.5,511.75,13410.0,51207.0
2000-12-18,512.0,514.0,509.25,509.75,26433.0,53638.0
2000-12-15,505.0,507.5,504.25,507.25,19186.0,59439.0
2000-12-14,510.0,511.0,503.5,504.25,24289.0,68276.0
2000-12-13,506.5,509.25,505.0,506.5,25001.0,70046.0
2000-12-12,508.0,513.0,506.5,507.25,26348.0,72218.0
2000-12-11,509.0,512.5,507.25,511.0,25989.0,73560.0
2000-12-08,502.5,512.0,501.5,511.5,32732.0,74308.0
2000-12-07,512.0,512.5,502.5,503.0,38771.0,74065.0
2000-12-06,502.0,507.5,500.0,507.0,24775.0,72878.0
2000-12-05,501.0,501.75,498.25,500.75,27228.0,73331.0
2000-12-04,504.5,508.0,501.0,504.5,24756.0,72999.0
2000-12-01,505.5,508.5,503.0,508.0,26495.0,75019.0
2000-11-30,503.0,509.5,500.5,506.0,41476.0,75117.0
2000-11-29,506.5,507.0,498.0,499.75,33749.0,75142.0
2000-11-28,496.5,503.5,495.5,500.75,28584.0,75424.0
2000-11-27,506.0,508.0,496.5,497.25,42020.0,73143.0
2000-11-24,495.5,502.0,495.5,500.75,23930.0,74017.0
2000-11-22,489.0,492.0,489.0,491.0,12564.0,75105.0
2000-11-21,489.5,490.5,486.5,489.0,20820.0,77125.0
2000-11-20,489.5,494.5,489.5,490.75,32885.0,78306.0
2000-11-17,482.0,489.0,481.25,487.75,38800.0,81167.0
2000-11-16,480.0,480.0,475.25,477.5,18236.0,82286.0
2000-11-15,479.0,484.25,479.0,481.5,25947.0,82268.0
2000-11-14,477.5,480.5,477.25,477.75,26914.0,82683.0
2000-11-13,472.0,477.0,471.5,476.25,28217.0,83802.0
2000-11-10,475.0,479.25,471.0,472.5,26941.0,86329.0
2000-11-09,478.5,481.0,474.0,476.75,37359.0,87125.0
2000-11-08,486.0,487.5,483.0,484.0,24878.0,89330.0
2000-11-07,482.5,486.5,482.5,485.75,26531.0,92036.0
2000-11-06,487.5,491.0,484.0,484.75,37820.0,92532.0
2000-11-03,484.5,486.0,482.5,484.25,21698.0,91087.0
2000-11-02,482.0,486.5,481.0,483.25,40191.0,90427.0
2000-11-01,470.0,476.75,469.5,473.5,33421.0,91030.0
2000-10-31,467.0,473.5,465.75,470.25,36598.0,88460.0
2000-10-30,467.5,469.5,464.5,466.75,47158.0,85116.0
2000-10-27,470.0,473.0,466.0,466.5,31092.0,73310.0
2000-10-26,475.5,478.5,470.0,470.5,30359.0,67565.0
2000-10-25,477.5,480.0,476.0,476.25,16497.0,61204.0
2000-10-24,474.5,479.5,471.0,477.75,17466.0,57620.0
2000-10-23,478.25,479.0,473.0,473.5,14516.0,53607.0
2000-10-20,483.5,486.0,479.25,479.75,10640.0,50550.0
