Date,Open,High,Low,Close,Volume,Open Interest
2000-01-14,480.0,490.0,480.0,485.5,992.0,175.0
2000-01-13,472.5,483.5,471.0,481.75,1821.0,1296.0
2000-01-12,479.0,479.0,471.5,472.5,3974.0,2029.0
2000-01-11,465.0,470.75,464.0,467.0,4544.0,2841.0
2000-01-10,466.0,469.25,465.0,466.25,6265.0,3635.0
2000-01-07,467.5,472.0,466.5,471.5,8942.0,4491.0
2000-01-06,469.5,473.0,468.0,468.0,7559.0,6477.0
2000-01-05,464.0,470.0,462.5,469.25,11035.0,7495.0
2000-01-04,458.5,466.0,458.25,464.25,8543.0,10015.0
2000-01-03,464.0,466.0,455.75,456.5,6168.0,11516.0
1999-12-30,456.5,462.5,456.5,461.75,12842.0,14284.0
1999-12-29,456.5,457.75,454.25,454.5,26372.0,17471.0
1999-12-28,459.0,460.25,456.5,458.25,32421.0,25254.0
1999-12-27,472.0,473.0,458.0,458.5,16837.0,34938.0
1999-12-23,465.0,468.0,464.5,467.0,11226.0,38848.0
1999-12-22,459.0,468.0,459.0,466.0,0.0,0.0
1999-12-21,458.5,459.75,454.5,456.75,16968.0,46115.0
1999-12-20,458.0,460.5,456.75,458.5,18966.0,48508.0
1999-12-17,451.0,453.0,449.25,452.25,16254.0,52270.0
1999-12-16,454.25,456.0,450.75,451.25,20545.0,56366.0
1999-12-15,453.5,454.5,449.0,452.75,24916.0,59209.0
1999-12-14,450.5,453.75,448.0,453.0,21332.0,60391.0
1999-12-13,450.0,451.5,446.25,451.0,39625.0,61972.0
1999-12-10,459.0,462.5,457.5,461.0,24441.0,67022.0
1999-12-09,472.5,472.5,459.0,459.5,38426.0,68637.0
1999-12-08,476.5,479.0,468.5,472.0,35600.0,70306.0
1999-12-07,476.0,482.0,475.25,480.25,25343.0,72775.0
1999-12-06,472.5,478.5,471.0,476.5,25430.0,75434.0
1999-12-03,469.0,475.0,468.5,472.5,24255.0,76773.0
1999-12-02,476.5,477.0,472.0,472.75,26972.0,77241.0
1999-12-01,477.0,479.5,474.5,476.0,30726.0,78484.0
1999-11-30,468.5,477.0,468.5,476.25,30118.0,82238.0
1999-11-29,465.5,475.5,465.5,467.5,36004.0,81112.0
1999-11-26,465.0,466.5,463.0,463.25,7901.0,82583.0
1999-11-24,469.0,470.5,464.0,465.25,21469.0,83869.0
1999-11-23,465.5,471.5,462.75,468.75,31185.0,85172.0
1999-11-22,467.0,469.0,465.5,468.0,16876.0,84236.0
1999-11-19,460.0,465.5,458.25,464.75,28652.0,85146.0
