Date,Open,High,Low,Close,Volume,Open Interest
2013-08-14,1347.0,1376.0,1347.0,1368.0,253.0,176.0
2013-08-13,1374.0,1386.5,1358.0,1359.75,448.0,405.0
2013-08-12,1339.75,1374.0,1338.25,1373.75,482.0,812.0
2013-08-09,1354.75,1366.25,1340.0,1340.75,760.0,1210.0
2013-08-08,1328.0,1358.0,1328.0,1355.75,967.0,1935.0
2013-08-07,1323.25,1335.0,1313.75,1327.75,720.0,2296.0
2013-08-06,1330.0,1335.0,1318.25,1324.25,689.0,2610.0
2013-08-05,1332.5,1336.0,1318.5,1329.75,1108.0,3285.0
2013-08-02,1358.0,1370.0,1328.5,1331.0,1706.0,3872.0
2013-08-01,1371.75,1387.0,1354.5,1357.75,4057.0,5552.0
2013-07-31,1350.0,1375.5,1343.5,1374.0,4327.0,7015.0
2013-07-30,1370.0,1379.75,1347.75,1350.0,13497.0,11451.0
2013-07-29,1345.5,1370.5,1328.75,1367.5,18023.0,17783.0
2013-07-26,1353.5,1360.25,1330.5,1349.75,25654.0,26446.0
2013-07-25,1388.25,1396.5,1348.5,1355.25,28931.0,27840.0
2013-07-24,1460.0,1466.25,1392.5,1392.5,48712.0,35006.0
2013-07-23,1515.0,1526.25,1460.0,1462.5,46022.0,39216.0
2013-07-22,1491.0,1525.5,1487.0,1520.25,30001.0,41984.0
2013-07-19,1469.0,1492.75,1469.0,1490.75,28027.0,44725.0
2013-07-18,1475.0,1477.5,1458.5,1469.25,24072.0,47213.0
2013-07-17,1475.25,1482.0,1464.25,1477.5,20739.0,48391.0
2013-07-16,1456.75,1488.0,1453.0,1475.25,33948.0,51005.0
2013-07-15,1424.0,1458.0,1419.5,1453.75,31832.0,53186.0
2013-07-12,1473.25,1478.0,1426.0,1429.0,35140.0,54032.0
2013-07-11,1463.75,1476.5,1460.0,1472.0,34955.0,56136.0
2013-07-10,1467.0,1479.0,1462.0,1464.75,34178.0,58316.0
2013-07-09,1455.5,1479.5,1452.0,1468.25,37966.0,60817.0
2013-07-08,1432.0,1459.5,1426.75,1455.5,29317.0,61972.0
2013-07-05,1441.25,1443.25,1431.75,1432.0,15912.0,62224.0
2013-07-03,1432.75,1450.0,1432.75,1441.25,16679.0,59975.0
2013-07-02,1435.25,1445.0,1430.25,1433.5,16935.0,60237.0
2013-07-01,1426.0,1453.75,1420.75,1436.25,25485.0,56192.0
2013-06-28,1429.25,1446.75,1411.75,1431.0,34495.0,55779.0
2013-06-27,1424.25,1437.0,1421.25,1432.5,38563.0,50372.0
2013-06-26,1428.0,1432.25,1420.25,1425.25,28475.0,49787.0
2013-06-25,1420.75,1433.5,1417.0,1429.25,20261.0,48974.0
2013-06-24,1405.0,1423.25,1401.0,1421.25,18687.0,48815.0
2013-06-21,1420.75,1428.75,1410.0,1413.75,13356.0,45927.0
2013-06-20,1443.25,1443.5,1419.0,1420.75,14114.0,43375.0
2013-06-19,1435.5,1450.5,1429.0,1447.0,14268.0,41466.0
2013-06-18,1434.0,1451.25,1433.5,1435.5,18166.0,38463.0
2013-06-17,1425.5,1437.0,1413.5,1435.25,11184.0,35008.0
2013-06-14,1426.75,1436.0,1419.25,1434.0,11026.0,34594.0
2013-06-13,1444.0,1449.0,1421.75,1426.75,13990.0,32508.0
2013-06-12,1451.0,1463.0,1438.0,1445.25,15845.0,31925.0
2013-06-11,1435.75,1454.0,1435.75,1450.75,16222.0,29171.0
2013-06-10,1450.25,1454.0,1430.0,1435.75,7771.0,29359.0
2013-06-07,1449.75,1466.75,1448.0,1456.25,10599.0,27136.0
2013-06-06,1454.0,1455.25,1440.75,1449.75,8660.0,27337.0
2013-06-05,1450.25,1466.0,1448.25,1454.75,15892.0,23833.0
2013-06-04,1455.75,1460.0,1444.0,1452.0,5055.0,23653.0
