Date,Open,High,Low,Close,Volume,Open Interest
2015-05-14,976.75,978.75,963.0,963.0,190.0,133.0
2015-05-13,974.5,978.5,970.5,975.0,1399.0,1299.0
2015-05-12,982.0,991.25,967.0,967.0,1362.0,2366.0
2015-05-11,983.0,989.0,981.5,983.0,1315.0,3410.0
2015-05-08,982.75,986.25,977.75,984.5,1693.0,4093.0
2015-05-07,990.5,992.5,979.25,981.5,2962.0,5117.0
2015-05-06,993.25,1000.5,988.25,990.5,2303.0,6390.0
2015-05-05,982.5,994.5,981.5,993.5,2787.0,7840.0
2015-05-04,968.0,984.0,966.75,983.0,3946.0,10287.0
2015-05-01,979.75,980.5,964.5,968.5,5905.0,13871.0
2015-04-30,989.0,997.25,975.0,978.5,13856.0,18964.0
2015-04-29,977.0,989.75,974.0,988.5,51617.0,38283.0
2015-04-28,972.0,988.5,972.0,977.5,77960.0,57783.0
2015-04-27,968.0,979.0,965.0,973.0,62778.0,72606.0
2015-04-24,978.0,981.0,966.75,969.75,61608.0,109417.0
2015-04-23,971.25,983.0,971.0,978.25,82360.0,120913.0
2015-04-22,973.75,976.5,965.25,970.5,107593.0,138943.0
2015-04-21,976.75,977.0,968.75,975.25,67681.0,148971.0
2015-04-20,968.0,981.0,967.5,977.5,108842.0,170762.0
2015-04-17,965.25,972.5,963.0,968.75,90111.0,181989.0
2015-04-16,964.0,970.25,955.5,966.0,89590.0,210049.0
2015-04-15,959.25,976.75,958.75,965.0,154854.0,235582.0
2015-04-14,948.75,961.5,948.5,960.25,141580.0,261498.0
2015-04-13,948.0,957.5,945.75,948.75,103240.0,273410.0
2015-04-10,954.0,958.5,944.5,951.5,125165.0,280951.0
2015-04-09,971.25,972.0,950.25,953.5,169506.0,281257.0
2015-04-08,971.0,975.0,967.75,971.5,107951.0,290388.0
2015-04-07,977.75,984.0,970.0,971.0,107166.0,292860.0
2015-04-06,985.0,990.25,978.0,978.5,59766.0,301337.0
2015-04-02,988.0,993.0,980.75,986.0,99735.0,311987.0
2015-04-01,973.25,991.75,972.75,989.75,152669.0,321453.0
2015-03-31,967.0,981.0,951.25,973.25,163325.0,322399.0
2015-03-30,968.0,976.75,965.0,967.75,79634.0,325585.0
2015-03-27,974.0,976.25,965.0,967.25,92651.0,324777.0
2015-03-26,977.0,981.5,972.0,974.5,100902.0,326466.0
2015-03-25,982.75,987.75,978.0,978.75,112380.0,325879.0
2015-03-24,983.75,985.0,975.75,981.75,88820.0,328924.0
2015-03-23,974.5,990.0,973.25,983.5,97433.0,327656.0
2015-03-20,961.75,980.0,960.0,973.75,125399.0,332392.0
2015-03-19,969.25,980.25,956.5,961.75,109707.0,335980.0
2015-03-18,954.5,967.0,953.5,965.0,102268.0,334115.0
2015-03-17,968.0,973.0,953.5,954.5,112410.0,325696.0
2015-03-16,972.5,978.0,967.5,969.25,82341.0,322484.0
2015-03-13,990.25,994.0,972.5,974.0,120189.0,318767.0
2015-03-12,992.0,997.5,983.5,990.5,104521.0,317952.0
2015-03-11,982.5,997.5,982.25,992.75,104891.0,316548.0
2015-03-10,992.5,994.0,981.75,984.5,97183.0,317640.0
2015-03-09,985.25,999.0,985.0,993.25,97767.0,320204.0
2015-03-06,985.0,988.25,976.75,985.0,104430.0,311971.0
2015-03-05,995.25,998.0,985.0,985.5,103177.0,314499.0
2015-03-04,1012.5,1014.25,993.0,994.0,99962.0,314453.0
2015-03-03,1014.0,1018.0,1002.0,1012.25,123254.0,315856.0
2015-03-02,1030.0,1039.0,1011.25,1013.75,111813.0,316690.0
2015-02-27,1026.0,1038.0,1022.0,1031.75,126435.0,314065.0
2015-02-26,1010.5,1027.0,1008.75,1026.5,144441.0,311392.0
