Date,Open,High,Low,Close,Volume,Open Interest
2018-08-14,858.5,864.5,856.5,864.5,81.0,82.0
2018-08-13,838.0,853.5,838.0,853.5,139.0,278.0
2018-08-10,886.25,886.25,845.25,846.0,304.0,467.0
2018-08-09,890.5,890.5,887.5,887.75,612.0,930.0
2018-08-08,892.0,895.75,889.25,893.75,1415.0,1210.0
2018-08-07,887.75,891.25,883.25,889.25,2138.0,1726.0
2018-08-06,880.5,881.0,872.5,877.25,1749.0,1752.0
2018-08-03,878.5,886.5,870.5,886.25,2608.0,2003.0
2018-08-02,886.75,886.75,873.75,882.5,4071.0,3541.0
2018-08-01,898.0,898.0,884.75,886.75,11290.0,6662.0
2018-07-31,875.5,906.0,873.25,903.75,14277.0,10869.0
2018-07-30,878.5,881.25,871.25,875.0,54567.0,27406.0
2018-07-27,858.25,874.0,858.25,870.5,35291.0,48029.0
2018-07-26,870.0,881.0,858.25,861.25,42094.0,57291.0
2018-07-25,860.0,863.0,852.0,860.75,26585.0,64857.0
2018-07-24,844.0,862.75,842.5,858.0,31358.0,71961.0
2018-07-23,853.25,854.75,847.25,847.75,23769.0,76972.0
2018-07-20,846.0,853.25,841.25,849.75,20935.0,80399.0
2018-07-19,842.0,846.75,836.75,846.0,22652.0,81332.0
2018-07-18,839.0,847.5,834.75,842.25,14325.0,80420.0
2018-07-17,833.25,843.5,830.0,839.5,30449.0,82683.0
2018-07-16,818.5,838.0,810.5,829.5,21316.0,85374.0
2018-07-13,834.75,838.0,811.75,818.75,21967.0,87305.0
2018-07-12,835.0,841.25,822.25,833.75,19301.0,89475.0
2018-07-11,848.0,850.5,831.75,833.0,27473.0,89770.0
2018-07-10,855.5,865.0,846.75,855.75,17610.0,91516.0
2018-07-09,877.0,879.75,850.5,855.75,21698.0,92948.0
2018-07-06,838.75,880.75,837.0,877.5,33228.0,93874.0
2018-07-05,847.0,850.75,837.75,839.25,20629.0,93841.0
2018-07-03,855.5,857.5,846.75,848.0,23198.0,93885.0
2018-07-02,864.25,868.0,850.5,853.5,22398.0,95977.0
2018-06-29,867.0,881.75,862.5,863.5,31021.0,94094.0
2018-06-28,871.25,875.0,865.0,866.75,41446.0,93524.0
2018-06-27,874.0,883.5,871.0,873.0,72036.0,91430.0
2018-06-26,878.5,886.25,868.0,873.0,58530.0,90448.0
2018-06-25,902.0,904.25,876.75,880.0,33763.0,89803.0
2018-06-22,884.5,902.5,884.5,900.0,44673.0,88923.0
2018-06-21,895.25,896.5,883.25,885.5,25271.0,87465.0
2018-06-20,896.25,901.25,882.5,894.5,32126.0,84733.0
2018-06-19,910.5,911.25,847.5,894.25,35418.0,83158.0
2018-06-18,911.5,919.75,904.0,914.0,58683.0,83680.0
2018-06-15,932.5,935.75,909.75,911.5,56027.0,78127.0
2018-06-14,939.25,943.25,930.25,933.25,29473.0,76216.0
2018-06-13,960.25,963.75,940.0,941.75,38177.0,69176.0
2018-06-12,962.0,968.5,957.5,959.5,16825.0,66865.0
2018-06-11,972.25,977.5,958.5,959.0,21518.0,68559.0
2018-06-08,979.75,981.5,968.0,974.75,17487.0,66374.0
2018-06-07,1000.25,1003.5,978.5,979.75,51722.0,71167.0
2018-06-06,1009.75,1013.5,999.0,999.5,15917.0,68858.0
2018-06-05,1007.5,1011.5,1002.5,1006.5,32707.0,67826.0
