Date,Open,High,Low,Close,Volume,Open Interest
2019-11-14,945.5,945.5,945.5,945.5,0,0
2019-11-15,945.75,945.75,945.75,945.75,0,0
2019-11-18,941,941,941,941,0,0
2019-11-19,941.75,941.75,941.75,941.75,0,0
2019-11-20,943.75,943.75,943.75,943.75,0,0
2019-11-21,942.5,942.5,942.5,942.5,0,0
2019-11-22,940.75,940.75,940.75,940.75,0,0
2019-11-25,942,942,942,942,0,0
2019-11-26,938.75,938.75,938.75,938.75,0,0
2019-11-27,935.5,935.5,935.5,935.5,0,0
2019-11-29,935.25,935.25,935.25,935.25,0,0
2019-12-02,934.75,934.75,934.75,934.75,0,0
2019-12-03,937.75,937.75,937.75,937.75,0,0
2019-12-04,938.75,938.75,938.75,938.75,0,0
2019-12-05,942.75,942.75,942.75,942.75,0,0
2019-12-06,943.5,943.5,943.5,943.5,0,0
2019-12-09,948.75,948.75,948.75,948.75,0,0
2019-12-10,950.25,950.25,950.25,950.25,0,0
2019-12-11,947,947,947,947,0,0
2019-12-12,947.75,947.75,947.75,947.75,0,0
2019-12-13,951.5,951.5,951.5,951.5,0,0
2019-12-16,955,955,955,955,0,0
2019-12-17,956.25,956.25,956.25,956.25,0,0
2019-12-18,959.25,959.25,959.25,959.25,0,0
2019-12-19,958,958,958,958,0,0
2019-12-20,956.25,956.25,956.25,956.25,0,0
2019-12-23,955,955,955,955,0,0
2019-12-24,957.25,957.25,957.25,957.25,0,0
2019-12-26,958.5,958.5,958.5,958.5,0,0
2019-12-27,958.25,958.25,958.25,958.25,0,0
2019-12-30,961.25,961.25,961.25,961.25,0,0
2019-12-31,962.25,962.25,962.25,962.25,0,0
2020-01-02,965,965,965,965,0,0
2020-01-03,961.25,961.25,961.25,961.25,0,0
2020-01-06,964.25,964.25,964.25,964.25,0,0
2020-01-07,966.75,966.75,966.75,966.75,0,0
2020-01-08,967.25,967.25,967.25,967.25,0,0
2020-01-09,962.75,962.75,962.75,962.75,0,0
2020-01-10,963.25,963.25,963.25,963.25,0,0
2020-01-13,958,958,958,958,0,0
2020-01-14,957.5,957.5,957.5,957.5,0,0
2020-01-15,948.75,948.75,948.75,948.75,0,0
2020-01-16,950,950,950,950,0,0
2020-01-17,952.25,952.25,952.25,952.25,0,0
2020-01-21,946.25,946.25,946.25,946.25,0,0
2020-01-22,945.75,945.75,945.75,945.75,0,0
2020-01-23,948.25,948.25,948.25,948.25,0,0
2020-01-24,949.25,949.25,949.25,949.25,0,0
2020-01-27,951,951,951,951,0,0
2020-01-28,949,949,949,949,0,0
2020-01-29,947.25,947.25,947.25,947.25,0,0
2020-01-30,942.25,942.25,942.25,942.25,0,0
2020-01-31,939.75,939.75,939.75,939.75,0,0
2020-02-03,941.25,941.25,941.25,941.25,0,0
2020-02-04,944.5,944.5,944.5,944.5,0,0
2020-02-05,945.5,945.5,945.5,945.5,0,0
2020-02-06,944.25,944.25,944.25,944.25,0,0
2020-02-07,939.75,939.75,939.75,939.75,0,0
2020-02-10,939.75,939.75,939.75,939.75,0,0
2020-02-11,940.5,940.5,940.5,940.5,0,0
2020-02-12,937.25,937.25,937.25,937.25,0,0
2020-02-13,940.5,940.5,940.5,940.5,0,0
2020-02-14,942.75,942.75,942.75,942.75,0,0
2020-02-18,941,941,941,941,10,10
2020-02-19,941.75,941.75,941.75,941.75,0,10
2020-02-20,934.25,934.25,934.25,934.25,0,10
2020-02-21,931.25,931.25,931.25,931.25,0,10
2020-02-24,925.75,925.75,925.75,925.75,0,10
2020-02-25,929.75,929.75,929.75,929.75,0,10
2020-02-26,930,930,930,930,0,10
2020-02-27,928.5,928.5,928.5,928.5,0,10
2020-02-28,923.5,923.5,923.5,923.5,0,10
2020-03-02,930.75,930.75,930.75,930.75,0,10
2020-03-03,930,930,930,930,0,10
2020-03-04,924,924,924,924,0,10
2020-03-05,913.5,913.5,913.5,913.5,0,10
2020-03-06,916.5,916.5,916.5,916.5,0,10
2020-03-09,910,910,904.75,904.75,15,18
2020-03-10,909,909,909,909,0,18
2020-03-11,905.75,905.75,905.75,905.75,0,18
2020-03-12,896.25,896.25,896.25,896.25,8,26
2020-03-13,895,895,892.5,892.5,8,26
2020-03-16,877.25,877.25,877.25,877.25,0,26
2020-03-17,872,872,872,872,0,26
2020-03-18,871.5,871.5,871.5,871.5,0,26
2020-03-19,867.25,867.25,867.25,867.25,0,26
2020-03-20,873.75,873.75,873.75,873.75,0,26
2020-03-23,871.25,871.25,871.25,871.25,0,26
2020-03-24,872,872,872,872,0,26
2020-03-25,877.5,877.5,877.5,877.5,0,26
2020-03-26,882,882,882,882,0,26
2020-03-27,874.5,874.5,874.5,874.5,0,26
